number,title,difficulty,leetcode_link,theme,ideas,solution_1,solution_2,solution_3
43,String Compression,Medium,https://leetcode.com/problems/string-compression/,,,0,0,0
44,Max Consecutive Ones II,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/,,,0,0,0
45,Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/,,,0,0,0
46,Permutation in String,Medium,https://leetcode.com/problems/permutation-in-string/,,,0,0,0
47,Find K closest elements,Medium,https://leetcode.com/problems/find-k-closest-elements/description/,,,0,0,0
48,Top K Frequent Words,Medium,https://leetcode.com/problems/top-k-frequent-words/,,,1,0,0
49,Partition labels,Medium,https://leetcode.com/problems/partition-labels/,,,1,0,0
50,Maximize Distance to Closest Person,Medium,https://leetcode.com/problems/maximize-distance-to-closest-person/,,,1,0,0
51,Sort the Matrix Diagonally,Medium,https://leetcode.com/problems/sort-the-matrix-diagonally/,,,0,0,0
52,Longest Subarray of 1's After Deleting One Element,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,,,0,0,0
53,Design an ATM Machine,Medium,https://leetcode.com/problems/design-an-atm-machine/,,,0,0,0
54,Promise pool,Medium,https://leetcode.com/problems/promise-pool/,,,0,0,0
55,Flatten deeply nested array,Medium,https://leetcode.com/problems/flatten-deeply-nested-array/description/,,,0,0,0
56,Find the Prefix Common Array of Two Arrays,Medium,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays/,,,0,0,0
57,Event Emmiter,Medium,https://leetcode.com/problems/event-emitter/,,,0,0,0
58,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water/,,,0,0,0
59,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/,,,0,0,0
60,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,,,0,0,0
61,Candy,Hard,https://leetcode.com/problems/candy/,,,0,0,0
62,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/,,,1,0,0
63,Remove invalid parenthless,Hard,https://leetcode.com/problems/remove-invalid-parentheses/description/,,,0,0,0
